Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2016/2017,Serie A,16,Genoa,38,9,9,20,38,64,36,45.2
2016/2017,Serie A,17,Crotone,38,9,7,22,34,58,34,34.17
2016/2017,Serie A,18,Empoli,38,8,8,22,29,61,32,35.09
2016/2017,Serie A,19,Palermo,38,6,8,24,33,77,26,28.92
2016/2017,Serie A,20,Pescara,38,2,9,27,35,83,15,43.12
2016/2017,Bundesliga,1,Bayern Munich,34,25,7,2,89,22,82,73.91
2016/2017,Bundesliga,2,RasenBallsport Leipzig,34,20,7,7,66,39,67,55.09
2016/2017,Bundesliga,3,Borussia Dortmund,34,18,10,6,72,40,64,74.91
2016/2017,Bundesliga,4,Hoffenheim,34,16,14,4,64,37,62,54.5
2016/2017,Bundesliga,5,FC Cologne,34,12,13,9,51,42,49,45.34
2016/2017,Bundesliga,6,Hertha Berlin,34,15,4,15,43,47,49,38.15
2016/2017,Bundesliga,7,Freiburg,34,14,6,14,42,60,48,39.41
2016/2017,Bundesliga,8,Werder Bremen,34,13,6,15,61,64,45,42.99
2016/2017,Bundesliga,9,Borussia M.Gladbach,34,12,9,13,45,49,45,45.82
2016/2017,Bundesliga,10,Schalke 04,34,11,10,13,45,40,43,44.86
2016/2017,Bundesliga,11,Eintracht Frankfurt,34,11,9,14,36,43,42,43.59
2016/2017,Bundesliga,12,Bayer Leverkusen,34,11,8,15,53,55,41,53.1
2016/2017,Bundesliga,13,Augsburg,34,9,11,14,35,51,38,33.88
2016/2017,Bundesliga,14,Hamburger SV,34,10,8,16,33,61,38,31.91
2016/2017,Bundesliga,15,Mainz 05,34,10,7,17,44,55,37,42.36
2016/2017,Bundesliga,16,Wolfsburg,34,10,7,17,34,52,37,44.47
2016/2017,Bundesliga,17,Ingolstadt,34,8,8,18,36,57,32,44.51
2016/2017,Bundesliga,18,Darmstadt,34,7,4,23,28,63,25,33.91
2016/2017,Ligue 1,1,Monaco,38,30,5,3,107,31,95,76.04
2016/2017,Ligue 1,2,Paris Saint Germain,38,27,6,5,83,27,87,82.16
2016/2017,Ligue 1,3,Nice,38,22,12,4,63,36,78,51.54
2016/2017,Ligue 1,4,Lyon,38,21,4,13,80,48,67,71.13
2016/2017,Ligue 1,5,Marseille,38,17,11,10,57,41,62,53.83
2016/2017,Ligue 1,6,Bordeaux,38,15,14,9,53,43,59,52.02
2016/2017,Ligue 1,7,Nantes,38,14,9,15,40,54,51,42.99
2016/2017,Ligue 1,8,Saint-Etienne,38,12,14,12,41,42,50,42.92
2016/2017,Ligue 1,9,Rennes,38,12,14,12,36,42,50,41.81
2016/2017,Ligue 1,10,Guingamp,38,14,8,16,46,53,50,47.14
2016/2017,Ligue 1,11,Lille,38,13,7,18,40,47,46,44.08
2016/2017,Ligue 1,12,Angers,38,13,7,18,40,49,46,46.19
2016/2017,Ligue 1,13,Toulouse,38,10,14,14,37,41,44,41.19
2016/2017,Ligue 1,14,Metz,38,11,10,17,39,72,43,34.76
2016/2017,Ligue 1,15,Montpellier,38,10,9,19,48,66,39,44.2
2016/2017,Ligue 1,16,Dijon,38,8,13,17,46,58,37,38.59
2016/2017,Ligue 1,17,Caen,38,10,7,21,36,65,37,45.28
2016/2017,Ligue 1,18,Lorient,38,10,6,22,44,70,36,44.46
2016/2017,Ligue 1,19,Nancy,38,9,8,21,29,52,35,32.58
2016/2017,Ligue 1,20,SC Bastia,38,8,10,20,29,57,34,32.27
